Scenario,ID,Opt-ACH,Opt-GenericWall_1Layer_definitions,Opt-H2KFoundation,Opt-ExposedFloor,Opt-Ceilings,Opt-CasementWindows,Opt-DHWSystem,Opt-DWHRSystem,Opt-HVACSystem,Opt-HRVSpec,Opt-H2K-PV
Rerun,1,ACH_3_5, Stud_2x6_EPS_R-40, STEP_R25FDN_R0_under,NA, CeilR70, MG-HP-Double, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,2, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R25FDN_R11_under,NA, CeilR100, MG-i89-Double, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,3, ACH_1_5, Stud_2x6_R18, STEP_R25FDN_R20_under,NA, CeilR100, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,4,ACH_3_5, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA, CeilR60, HG-i89-Triple-B, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,5, ACH_1_5,Stud_2x6_R16, STEP_R25FDN_R0_under,NA, CeilR70, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,6, ACH_0_6, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA,CeilR40,LG-avg-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,7, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_BaseFDN_R11_under,NA, CeilR60, HG-i89-Triple-B, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,8, ACH_0_6, Stud_2x6_R18, STEP_R16FDN_R0_under,NA, CeilR50, HG-i89-Triple-B, HPHotWater, DWHR-eff-30, CCASHP-ecm,NA, MonoSi-10kW
Rerun,9, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_R25FDN_R20_under,NA,CeilR40, MG-i89-Double, HPHotWater,  DWHR-eff-42, CCASHP-ecm,NA, MonoSi-10kW
Rerun,10,ACH_3_5, Stud_2x6_EPS_R-40, STEP_BaseFDN_R20_under,NA, CeilR70, HG-i89-Triple-B, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,11, ACH_1_0, Stud_2x6_EPS_R-40, STEP_R25FDN_R0_under,NA, CeilR70,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,12, ACH_1_0, Stud_2x6_XPS_R-22, STEP_R16FDN_R0_under,NA,CeilR40, HG-i89-Triple-B, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,13, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R20FDN_R15_under,NA, CeilR80,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,14, ACH_2_5, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA,CeilR40, HG-avg-Triple, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,15,ACH_3_5, Stud_2x4_2in_XPS_R-24, STEP_R16FDN_R20_under,NA,CeilR40, HG-i89-Triple-B, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,16, ACH_0_6, Stud_2x6_XPS_R-22, STEP_R20FDN_R20_under,NA, CeilR70,LG-avg-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,17, ACH_0_6, Stud_2x6_EPS_R-40, STEP_BaseFDN_R20_under,NA, CeilR80, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,18, ACH_1_0, Stud_2x6_XPS_R-22, STEP_R25FDN_R0_under,NA,CeilR40, HG-i89-Triple-B, HPHotWater, DWHR-eff-55, CCASHP-ecm,NA, MonoSi-10kW
Rerun,19, ACH_0_6, Stud_2x6_EPS_R-40, STEP_BaseFDN_R20_under,NA, CeilR80, HG-i89-Triple-B, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,20, ACH_1_5, Stud_2x6_R18, STEP_R25FDN_R0_under,NA,CeilR40, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
