ID,Scenario,Archetype,GOtag:Opt-Location,GOtag:Opt-ACH,GOtag:Opt-GenericWall_1Layer_definitions,GOtag:Opt-H2KFoundation,GOtag:Opt-ExposedFloor,GOtag:Opt-Ceilings,GOtag:Opt-CasementWindows,GOtag:Opt-DHWSystem,GOtag:Opt-DWHRSystem,GOtag:Opt-HVACSystem,GOtag:Opt-HRVSpec
1,NBC-arch1_fullBsmt-1,NBC-arch1_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
2,NBC-arch1_fullBsmt-2,NBC-arch1_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
3,NBC-arch1_fullBsmt-3,NBC-arch1_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,elec,NA
4,NBC-arch1_fullBsmt-4,NBC-arch1_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,CCASHP,NA
5,NBC-arch1_fullBsmt-5,NBC-arch1_fullBsmt,WINDSOR,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
6,NBC-arch1_fullBsmt-6,NBC-arch1_fullBsmt,Calgary,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
7,NBC-arch1_fullBsmt-7,NBC-arch1_fullBsmt,COLDLAKE,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
8,NBC-arch1_fullBsmt-8,NBC-arch1_fullBsmt,CORONATION,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
9,NBC-arch1_fullBsmt-9,NBC-arch1_fullBsmt,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
10,NBC-arch1_fullBsmt-10,NBC-arch1_fullBsmt,FORTMCMURRAY,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
11,NBC-arch1_fullBsmt-11,NBC-arch1_fullBsmt,GRANDEPRAIRIE,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
12,NBC-arch1_fullBsmt-12,NBC-arch1_fullBsmt,LETHBRIDGE,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
13,NBC-arch1_fullBsmt-13,NBC-arch1_fullBsmt,MEDICINEHAT,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
14,NBC-arch1_fullBsmt-14,NBC-arch1_fullBsmt,PEACERIVER,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
15,NBC-arch1_fullBsmt-15,NBC-arch1_fullBsmt,REDDEER,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
