ID,Scenario,Archetype,GOtag:Opt-Location,GOtag:Opt-ACH,GOtag:Opt-GenericWall_1Layer_definitions,GOtag:Opt-H2KFoundation,GOtag:Opt-ExposedFloor,GOtag:Opt-Ceilings,GOtag:Opt-CasementWindows,GOtag:Opt-DHWSystem,GOtag:Opt-DWHRSystem,GOtag:Opt-HVACSystem,GOtag:Opt-HRVSpec
1,NBC-arch1_fullBsmt-1,NBC-arch1_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
2,NBC-arch2_slab-2,NBC-arch2_slab,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
3,NBC-arch3_fullBsmt-3,NBC-arch3_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
4,NBC-arch4_fullBsmt-4,NBC-arch4_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
5,NBC-arch5_fullBsmt-5,NBC-arch5_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
6,NBC-arch6_fullBsmt-6,NBC-arch6_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
7,NBC-arch7_slabOnGrade-7,NBC-arch7_slabOnGrade,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
8,NBC-arch8_Bsmt-8,NBC-arch8_Bsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
9,NBC-arch9_Bsmt-9,NBC-arch9_Bsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
10,NBC-arch10_fullBsmt-10,NBC-arch10_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
11,NBC-arch11_fullBsmt-11,NBC-arch11_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
12,NBC-arch1_fullBsmt-12,NBC-arch1_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,basefurnace,NA
13,NBC-arch2_slab-13,NBC-arch2_slab,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
14,NBC-arch3_fullBsmt-14,NBC-arch3_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
15,NBC-arch4_fullBsmt-15,NBC-arch4_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
16,NBC-arch5_fullBsmt-16,NBC-arch5_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
17,NBC-arch6_fullBsmt-17,NBC-arch6_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
18,NBC-arch7_slabOnGrade-18,NBC-arch7_slabOnGrade,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
19,NBC-arch8_Bsmt-19,NBC-arch8_Bsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
20,NBC-arch9_Bsmt-20,NBC-arch9_Bsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
21,NBC-arch10_fullBsmt-21,NBC-arch10_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
22,NBC-arch11_fullBsmt-22,NBC-arch11_fullBsmt,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
