ID,Scenario,Archetype,GOtag:Opt-Location,GOtag:Opt-ACH,GOtag:Opt-GenericWall_1Layer_definitions,GOtag:Opt-H2KFoundation,GOtag:Opt-ExposedFloor,GOtag:Opt-Ceilings,GOtag:Opt-CasementWindows,GOtag:Opt-DHWSystem,GOtag:Opt-DWHRSystem,GOtag:Opt-HVACSystem,GOtag:Opt-HRVSpec
1,NBC-arch1-1,NBC-arch1,Vancouver,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
2,NBC-arch1-2,NBC-arch1,WINDSOR,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
3,NBC-arch1-3,NBC-arch1,Calgary,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
4,NBC-arch1-4,NBC-arch1,COLDLAKE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
5,NBC-arch1-5,NBC-arch1,CORONATION,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
6,NBC-arch1-6,NBC-arch1,Edmonton,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
7,NBC-arch1-7,NBC-arch1,FORTMCMURRAY,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
8,NBC-arch1-8,NBC-arch1,GRANDEPRAIRIE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
9,NBC-arch1-9,NBC-arch1,LETHBRIDGE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
10,NBC-arch1-10,NBC-arch1,MEDICINEHAT,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
11,NBC-arch1-11,NBC-arch1,PEACERIVER,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
12,NBC-arch1-12,NBC-arch1,REDDEER,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
13,NBC-arch1-13,NBC-arch1,ROCKYMOUNTAINHOUSE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
14,NBC-arch1-14,NBC-arch1,SUFFIELD,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
15,NBC-arch1-15,NBC-arch1,ABBOTSFORD,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
16,NBC-arch1-16,NBC-arch1,CASTLEGAR,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
17,NBC-arch1-17,NBC-arch1,COMOX,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
18,NBC-arch1-18,NBC-arch1,CRANBROOK,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
19,NBC-arch1-19,NBC-arch1,FORTNELSON,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
20,NBC-arch1-20,NBC-arch1,FORTSTJOHN,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
21,NBC-arch1-21,NBC-arch1,Kamloops,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
22,NBC-arch1-22,NBC-arch1,PORTHARDY,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
23,NBC-arch1-23,NBC-arch1,PrinceGeorge,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
24,NBC-arch1-24,NBC-arch1,PRINCERUPERT,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
25,NBC-arch1-25,NBC-arch1,QUESNEL,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
26,NBC-arch1-26,NBC-arch1,SANDSPIT,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
27,NBC-arch1-27,NBC-arch1,SMITHERS,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
28,NBC-arch1-28,NBC-arch1,SUMMERLAND,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
29,NBC-arch1-29,NBC-arch1,TERRACE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
