Simulation Number	Main Iteration	Sub Iteration	Step Number	SimplePaybackYrs	EnergyTotal	UtilBillNoPVRevenueDoll	UtilRevenuePVDoll	UtilBillNetDoll	UtilCostElecDoll	UtilCostGasDoll	UtilCostPropaneDoll	UtilCostOilDoll	EnergyPVkWh	EnergyHeatingGJ	EnergyCoolingGJ	EnergyVentGJ	EnergyDHWGJ	EnergyPlugGJ	FuelEleckWh	FuelNaturalGasM3	FuelOilL	UpgradeCostDoll	PVSizekW	PEAKHeatingW	ERS-Value	NumTries	LapsedTime	PeakCoolingW	GrossHeatingGJ	AuxHeatingReqGJ	RefEnTotalGJ	GOtag:Opt-Choice_Files	GOtag:Opt-Location	GOtag:OPT-HRV_ctl	GOtag:Opt-HeatCool-Control	GOtag:Opt-ElecLoadScale	GOtag:Opt-DHWLoadScale	GOtag:Opt-OptionsFile	
1	1	1	1	1259.9	47.5	1259.93	0	1259.93	1082.18	177.74	0	0	0	5.6	0	0.1	16.2	25.6	11669.2	148.7	0	0	0	3572.3	0	1	30.72	5698.2	37	5.3	0	 ..\choice-files\NBC-arch1-1~1~as-found.choices 	NotUsed!SetByMakeChoiceFile.pl	EightHRpDay	HeatingOnly	NGERSNoReduction19	No-Reduction	..\HOT2000.options	Function evaluation successful.
2	2	1	1	1356.3	62	1356.31	0	1356.31	1086.62	269.68	0	0	0	20.1	0	0.1	16.1	25.6	11720.2	530.7	0	0	0	6296	0	1	25.65	3773.1	50	19.1	0	  ..\choice-files\NBC-arch2-2~2~as-found.choices 	NotUsed!SetByMakeChoiceFile.pl	EightHRpDay	HeatingOnly	NGERSNoReduction19	No-Reduction	..\HOT2000.options	Function evaluation successful.
3	3	1	1	1342.4	59.9	1342.39	0	1342.39	1085.73	256.65	0	0	0	18.1	0	0.1	16.1	25.6	11710	476.5	0	0	0	5963.7	0	1	28.41	3785.7	49	17.1	0	  ..\choice-files\NBC-arch2-3~3~as-found.choices 	NotUsed!SetByMakeChoiceFile.pl	EightHRpDay	HeatingOnly	NGERSNoReduction19	No-Reduction	..\HOT2000.options	Function evaluation successful.
4	4	1	1	1299.5	53.1	1299.45	0	1299.45	1086.83	212.63	0	0	0	11.1	0	0.1	16.2	25.6	11722.6	293.6	0	0	0	4653.8	0	1	34.58	5403.9	45	10.6	0	  ..\choice-files\NBC-arch3-4~4~as-found.choices 	NotUsed!SetByMakeChoiceFile.pl	EightHRpDay	HeatingOnly	NGERSNoReduction19	No-Reduction	..\HOT2000.options	Function evaluation successful.
5	5	1	1	1483	80.3	1483.01	0	1483.01	1097.47	385.53	0	0	0	38.4	0	0.1	16.2	25.6	11844.9	1012	0	0	0	8818	0	1	45.54	7942.4	81	36.3	0	  ..\choice-files\NBC-arch4-5~5~as-found.choices 	NotUsed!SetByMakeChoiceFile.pl	EightHRpDay	HeatingOnly	NGERSNoReduction19	No-Reduction	..\HOT2000.options	Function evaluation successful.
6	6	1	1	1510.9	84.4	1510.89	0	1510.89	1099.7	411.19	0	0	0	42.4	0	0.1	16.2	25.6	11870.5	1118.7	0	0	0	9175.9	0	1	41.14	11091	90	40.2	0	  ..\choice-files\NBC-arch5-6~6~as-found.choices 	NotUsed!SetByMakeChoiceFile.pl	EightHRpDay	HeatingOnly	NGERSNoReduction19	No-Reduction	..\HOT2000.options	Function evaluation successful.
7	7	1	1	1514.8	85	1514.78	0	1514.78	1099.98	414.8	0	0	0	43	0	0.1	16.2	25.6	11873.8	1133.7	0	0	0	9596.6	0	1	42.2	13570.2	94	40.7	0	  ..\choice-files\NBC-arch6-7~7~as-found.choices 	NotUsed!SetByMakeChoiceFile.pl	EightHRpDay	HeatingOnly	NGERSNoReduction19	No-Reduction	..\HOT2000.options	Function evaluation successful.
8	8	1	1	2209.8	114.4	2209.79	0	2209.79	1597.72	612.07	0	0	0	70.4	0	0.1	18.3	25.6	12577	1857.1	0	0	0	12329.1	0	1	38.64	7618.1	123	66.7	0	  ..\choice-files\NBC-arch7-8~8~as-found.choices 	NotUsed!SetByMakeChoiceFile.pl	EightHRpDay	HeatingOnly	NGERSNoReduction19	No-Reduction	..\HOT2000.options	Function evaluation successful.
9	9	1	1	2179.8	107.3	2179.85	0	2179.85	1593.99	585.86	0	0	0	63.3	0	0.1	18.3	25.6	12541.6	1670	0	0	0	11867.4	0	1	31.84	7735.6	115	60	0	  ..\choice-files\NBC-arch7-9~9~as-found.choices 	NotUsed!SetByMakeChoiceFile.pl	EightHRpDay	HeatingOnly	NGERSNoReduction19	No-Reduction	..\HOT2000.options	Function evaluation successful.
10	10	1	1	2230.2	118.3	2230.19	0	2230.19	1604.3	625.9	0	0	0	74.2	0	0.1	18.4	25.6	12639.4	1955.8	0	0	0	13916.3	0	1	33.81	8515.3	128	70.2	0	  ..\choice-files\NBC-arch8-10~10~as-found.choices 	NotUsed!SetByMakeChoiceFile.pl	EightHRpDay	HeatingOnly	NGERSNoReduction19	No-Reduction	..\HOT2000.options	Function evaluation successful.
