ID,Scenario,Archetype,GOtag:Opt-Location,GOtag:Opt-ACH,GOtag:Opt-GenericWall_1Layer_definitions,GOtag:Opt-H2KFoundation,GOtag:Opt-ExposedFloor,GOtag:Opt-Ceilings,GOtag:Opt-CasementWindows,GOtag:Opt-DHWSystem,GOtag:Opt-DWHRSystem,GOtag:Opt-HVACSystem,GOtag:Opt-HRVSpec
1,RR-SmallSFD-1,SmallSFD,Vancouver,ACH_3_5,Stud_2x6_R16,STEP_BaseFDN_R0_under,NA,CeilR40,LG-avg-Double,BaseDHW,none,basefurnace,NA
2,RR-SmallSFD-2,SmallSFD,Summerland,ACH_3_5,Stud_2x6_R18,STEP_R16FDN_R0_under,NA,CeilR50,LG-avg-Double,BaseDHW,none,basefurnace,NA
3,RR-SmallSFD-3,SmallSFD,Cranbrook,ACH_3_5,Stud_2x6_R18,STEP_R16FDN_R0_under,NA,CeilR50,MG-i89-Double,BaseDHW,none,basefurnace,NA
4,RR-SmallSFD-4,SmallSFD,FORTSTJOHN,ACH_3_5,Stud_2x6_R18,STEP_R20FDN_R0_under,NA,CeilR60,MG-i89-Double,BaseDHW,none,basefurnace,NA
5,RR-SmallSFD-5,SmallSFD,FORTNELSON,ACH_3_5,Stud_2x6_XPS_R-22,STEP_R20FDN_R0_under,NA,CeilR60,MG-HP-Double,BaseDHW,none,basefurnace,NA
6,RR-SmallSFD-6,SmallSFD,URANIUMCITY,ACH_3_5,Stud_2x6_XPS_R-22,STEP_R20FDN_R0_under,NA,CeilR60,MG-HP-Double,BaseDHW,none,basefurnace,NA
7,RR-MediumSFD-7,MediumSFD,Vancouver,ACH_3_5,Stud_2x6_R16,STEP_BaseFDN_R0_under,NA,CeilR40,LG-avg-Double,BaseDHW,none,basefurnace,NA
8,RR-MediumSFD-8,MediumSFD,Summerland,ACH_3_5,Stud_2x6_R18,STEP_R16FDN_R0_under,NA,CeilR50,LG-avg-Double,BaseDHW,none,basefurnace,NA
9,RR-MediumSFD-9,MediumSFD,Cranbrook,ACH_3_5,Stud_2x6_R18,STEP_R16FDN_R0_under,NA,CeilR50,MG-i89-Double,BaseDHW,none,basefurnace,NA
10,RR-MediumSFD-10,MediumSFD,FORTSTJOHN,ACH_3_5,Stud_2x6_R18,STEP_R20FDN_R0_under,NA,CeilR60,MG-i89-Double,BaseDHW,none,basefurnace,NA
