ID, batch, SimulationNumber, MainIteration, SubIteration, StepNumber, SimplePaybackYrs, EnergyTotal, UtilBillNoPVRevenueDoll, UtilRevenuePVDoll, UtilBillNetDoll, UtilCostElecDoll, UtilCostGasDoll, UtilCostPropaneDoll, UtilCostOilDoll, EnergyPVkWh, EnergyHeatingGJ, EnergyCoolingGJ, EnergyVentGJ, EnergyDHWGJ, EnergyPlugGJ, FuelEleckWh, FuelNaturalGasM3, FuelOilL, UpgradeCostDoll, PVSizekW, PEAKHeatingW, ERS-Value, NumTries, PeakCoolingW, GrossHeatingGJ, AuxHeatingReqGJ, RefEnTotalGJ, FloorArea_m2, TEDI_kWh_m2, MEUI_kWh_m2, GOtag:Opt-Location, GOtag:Opt-Archetype, GOtag:Opt-ACH, GOtag:Opt-GenericWall_1Layer_definitions, GOtag:Opt-H2KFoundation, GOtag:Opt-ExposedFloor, GOtag:Opt-Ceilings, GOtag:Opt-CasementWindows, GOtag:Opt-DHWSystem, GOtag:Opt-DWHRSystem, GOtag:Opt-HVACSystem, GOtag:Opt-HRVSpec, GOtag:Opt-StandoffPV, GOtag:Opt-H2K-PV, GOtag:RoofPitch, GOtag:GOconfig_rotate, , status
1, 1, 1, 1, 1, 1, 2636.3, 145.1, 2577.24, 0.0, 2577.24, 1587.77, 989.47, 0.0, 0.0, 0.0, 95.6, 0.0, 2.4, 23.7, 31.5, 9542.2, 3189.5, 0.0, 1476.0, 0.0, 14470.4, 0.0, 1.0, 10768.8, 144.0, 87.2, 0.0, 0.2, 121136.7, 168880.1, Ottawa, MediumSFD, NA, Stud_2x6_R16, OBCminR12-Slab0R, NA, CeilR50, DoubleLowEHardCoatAirFill, BaseDHW, none, gas-furnace-ecm, HRV_60, NoPV, NA, NA, S, Generation1., 
2, 1, 2, 2, 1, 1, 2577.3, 114.0, 2366.18, 0.0, 2366.18, 1581.11, 785.07, 0.0, 0.0, 0.0, 65.2, 0.0, 2.4, 21.2, 31.5, 9497.4, 2310.5, 0.0, 5278.0, 0.0, 10812.8, 0.0, 1.0, 10986.0, 113.0, 59.4, 0.0, 0.2, 82540.4, 123190.1, Ottawa, MediumSFD, ACH_1_0, Stud_2x4_2in_XPS_R-24, OBCminR12-Slab24R, NA, CeilR60, DoubleLowEHardCoatAirFill, BaseDHW, DWHR-eff-42, gas-furnace-ecm, HRV_81, NoPV, NA, NA, S, Generation1., 
3, 1, 3, 3, 1, 1, 3783.4, 84.1, 3542.58, 0.0, 3542.58, 3203.05, 339.53, 0.0, 0.0, 0.0, 37.1, 2.0, 2.4, 15.2, 31.5, 20404.9, 408.9, 0.0, 6020.0, 0.0, 10632.0, 0.0, 1.0, 11015.7, 115.0, 63.9, 0.0, 0.2, 88741.2, 78808.3, Ottawa, MediumSFD, ACH_1_0, Stud_2x6_1.5in_XPS_R-25, Rigid+BattR30-R24BSlab, NA, CeilR60, DoubleLowEHardCoatAirFill, GasInstantaneous, DWHR-eff-30, CCASHP, HRV_60, NoPV, NA, NA, S, Generation1., 
4, 1, 4, 4, 1, 1, 3115.1, 75.0, 2969.87, 0.0, 2969.87, 2597.68, 372.19, 0.0, 0.0, 0.0, 23.7, 1.0, 2.4, 20.3, 31.5, 16333.8, 545.7, 0.0, 3632.0, 0.0, 8753.3, 0.0, 1.0, 10471.2, 87.0, 50.6, 0.0, 0.2, 70280.4, 65848.6, Ottawa, MediumSFD, ACH_1_5, Stud_2x6_1in_XPS_R-23, Rigid+BattR30-R10BSlab, NA, CeilR60, LG-i89-Triple-A, BaseDHW, DWHR-eff-55, GSHP, HRV_81, NoPV, NA, NA, S, Generation1., 
5, 1, 5, 5, 1, 1, 3717.2, 78.8, 3604.75, 0.0, 3604.75, 3604.75, 0.0, 0.0, 0.0, 0.0, 38.4, 2.1, 2.4, 8.4, 31.5, 23106.3, 0.0, 0.0, 2812.0, 0.0, 11710.1, 0.0, 1.0, 11015.7, 116.0, 65.9, 0.0, 0.2, 91469.2, 71165.9, Ottawa, MediumSFD, ACH_2_0, Stud_2x6_1in_XPS_R-23, Rigid+BattR30-R24BSlab, NA, CeilR60, DoubleLowEHardCoatAirFill, ElectricHP, none, CCASHP, HRV_81, NoPV, NA, NA, S, Generation1., 
6, 1, 6, 6, 1, 1, 3336.9, 70.3, 3232.5, 0.0, 3232.5, 3232.5, 0.0, 0.0, 0.0, 0.0, 30.9, 1.5, 2.4, 7.6, 31.5, 20602.9, 0.0, 0.0, 2609.0, 0.0, 10546.9, 0.0, 1.0, 10663.4, 109.0, 66.4, 0.0, 0.2, 92219.8, 58834.2, Ottawa, MediumSFD, ACH_2_0, Stud_2x6_1.5in_XPS_R-25, OBCminR12-Slab24R, NA, CeilR60, MG-HP-Double, ElectricHP, DWHR-eff-30, GSHP, HRV_60, NoPV, NA, NA, S, Generation1., 
7, 1, 7, 7, 1, 1, 3436.5, 80.7, 3339.7, 0.0, 3339.7, 2989.49, 350.21, 0.0, 0.0, 0.0, 32.1, 2.0, 2.4, 16.9, 31.5, 18968.7, 453.6, 0.0, 2421.0, 0.0, 11852.6, 0.0, 1.0, 10563.4, 118.0, 68.4, 0.0, 0.2, 95018.7, 74024.1, Ottawa, MediumSFD, NA, Stud_2x6_R20, OBCminR12-Slab0R, NA, CeilR70, HG-i89-Triple-B, GasInstantaneous, none, GSHP, HRV_60, NoPV, NA, NA, S, Generation1., 
8, 1, 8, 8, 1, 1, 3179.0, 58.9, 2735.09, 0.0, 2735.09, 2735.09, 0.0, 0.0, 0.0, 0.0, 18.4, 1.9, 2.4, 7.6, 31.5, 17257.9, 0.0, 0.0, 11097.0, 0.0, 7790.1, 0.0, 1.0, 10779.1, 84.0, 38.8, 0.0, 0.2, 53957.5, 42013.2, Ottawa, MediumSFD, ACH_0_6, Stud_2x6_R16, 4in_Ext_Rigid_XPS_R10_under, NA, CeilR60, HG-i89-Triple-B, ElectricHP, DWHR-eff-30, GSHP, HRV_81, NoPV, NA, NA, S, Generation1., 
9, 1, 9, 9, 1, 1, 2555.3, 127.6, 2459.3, 0.0, 2459.3, 1585.19, 874.1, 0.0, 0.0, 0.0, 83.9, 0.0, 2.4, 16.9, 31.5, 9524.9, 2694.9, 0.0, 2401.0, 0.0, 13200.5, 0.0, 1.0, 11082.3, 128.0, 76.7, 0.0, 0.2, 106496.3, 143213.7, Ottawa, MediumSFD, NA, Stud_2x6_R16, Rigid+BattR30-R10BSlab, NA, CeilR50, DoubleLowEHardCoatAirFill, GasInstantaneous, none, gas-furnace-ecm, HRV_60, NoPV, NA, NA, S, Generation1., 
10, 1, 19, 1, 1, 2, 3339.1, 80.4, 3179.82, 0.0, 3179.82, 2802.57, 377.24, 0.0, 0.0, 0.0, 27.4, 2.1, 2.4, 21.1, 31.5, 17711.7, 566.9, 0.0, 3982.0, 0.0, 10448.7, 0.0, 1.0, 11077.4, 111.0, 58.5, 0.0, 0.2, 81200.0, 73558.2, Ottawa, MediumSFD, ACH_1_0, Stud_2x6_1in_XPS_R-23, Rigid+BattR30-R10BSlab, NA, CeilR70, DoubleLowEHardCoatAirFill, BaseDHW, DWHR-eff-42, GSHP, HRV_60, NoPV, NA, NA, S, Generation2., 
11, 1, 20, 2, 1, 2, 3474.7, 81.9, 3240.93, 0.0, 3240.93, 2863.37, 377.56, 0.0, 0.0, 0.0, 28.8, 2.1, 2.4, 21.2, 31.5, 18120.6, 568.2, 0.0, 5844.0, 0.0, 10530.4, 0.0, 1.0, 10986.0, 115.0, 61.8, 0.0, 0.2, 85884.4, 75671.1, Ottawa, MediumSFD, ACH_0_6, Stud_2x4_2in_XPS_R-24, OBCminR12-Slab24R, NA, CeilR60, DoubleLowEHardCoatAirFill, BaseDHW, DWHR-eff-42, GSHP, HRV_60, NoPV, NA, NA, S, Generation2., 
12, 1, 21, 3, 1, 2, 2634.1, 115.9, 2380.23, 0.0, 2380.23, 1583.27, 796.96, 0.0, 0.0, 0.0, 73.7, 0.0, 2.4, 14.7, 31.5, 9512.0, 2363.2, 0.0, 6348.0, 0.0, 11420.1, 0.0, 1.0, 10677.8, 118.0, 67.5, 0.0, 0.2, 93743.1, 125991.8, Ottawa, MediumSFD, ACH_1_75, Stud_2x6_R18, OBCminR12-Slab0R, NA, CeilR90, DoubleLowESoftCoatArgFill, GasInstantaneous, DWHR-eff-42, gas-furnace-ecm, HRV_81, NoPV, NA, NA, S, Generation2., 
13, 1, 22, 4, 1, 2, 3678.4, 74.1, 3400.24, 0.0, 3400.24, 3400.24, 0.0, 0.0, 0.0, 0.0, 34.9, 2.1, 2.4, 6.9, 31.5, 21731.0, 0.0, 0.0, 6954.0, 0.0, 10830.5, 0.0, 1.0, 10948.7, 110.0, 59.9, 0.0, 0.2, 83234.9, 64289.9, Ottawa, MediumSFD, ACH_1_5, Stud_2x6_1.5in_XPS_R-25, 4in_Ext_Rigid_XPS_R10_under, NA, CeilR50, DoubleLowEHardCoatArgFill, ElectricHP, DWHR-eff-55, CCASHP, HRV_81, NoPV, NA, NA, S, Generation2., 
